feature,importance
cough_AND_fever*sore_throat_AND_head_ache,0.007787755581149206
cough_AND_fever*cough_AND_head_ache,0.007787755581149206
fever*cough_AND_head_ache,0.007787755581149206
shortness_of_breath*cough_AND_sore_throat,0.007787755581149206
age_60_and_above*sore_throat_AND_shortness_of_breath,0.006472389159721558
head_ache*cough_AND_fever,0.006348943861480876
cough*fever_AND_shortness_of_breath,0.006307466656217371
cough*shortness_of_breath,0.006307466656217371
sore_throat*fever_AND_shortness_of_breath,0.006307466656217371
fever_AND_shortness_of_breath,0.006307466656217371
fever_AND_sore_throat*fever_AND_shortness_of_breath,0.006307466656217371
shortness_of_breath*cough_AND_head_ache,0.0061714893135178936
cough_AND_head_ache^2,0.0061714893135178936
head_ache^2,0.0061714893135178936
cough_AND_shortness_of_breath*cough_AND_head_ache,0.0061714893135178936
cough_AND_head_ache,0.0061714893135178936
cough_AND_fever*fever_AND_sore_throat,0.0058998567131777245
fever*cough_AND_fever,0.0058998567131777245
fever_AND_sore_throat^2,0.0058998567131777245
test_indication*fever_AND_sore_throat,0.0058998567131777245
test_indication*cough_AND_sore_throat,0.0058998567131777245
cough*cough_AND_sore_throat,0.0058998567131777245
sore_throat^2,0.004457561162865355
cough_AND_sore_throat^2,0.004457561162865355
fever*cough_AND_sore_throat,0.004457561162865355
cough_AND_fever*cough_AND_sore_throat,0.004457561162865355
cough_AND_sore_throat,0.004457561162865355
age_60_and_above*shortness_of_breath_AND_head_ache,0.004266190252043451
test_indication*fever_AND_shortness_of_breath,0.0034934383247005713
sore_throat*cough_AND_fever,0.0034934383247005713
cough_AND_sore_throat*fever_AND_shortness_of_breath,0.0034934383247005713
test_indication*cough_AND_shortness_of_breath,0.0034934383247005713
cough*cough_AND_shortness_of_breath,0.0034934383247005713
fever_AND_shortness_of_breath^2,0.0034934383247005713
head_ache*gender,0.003129812141047941
fever*fever_AND_sore_throat,0.002906776190942726
cough_AND_head_ache*fever_AND_sore_throat,0.002906776190942726
cough*sore_throat,0.002906776190942726
fever_AND_sore_throat,0.002906776190942726
cough*fever_AND_sore_throat,0.002906776190942726
head_ache*fever_AND_head_ache,0.002536437271421787
age_60_and_above*fever_AND_sore_throat,0.0025148850415101878
shortness_of_breath*sore_throat_AND_shortness_of_breath,0.0020806273480621323
fever*shortness_of_breath_AND_head_ache,0.0020806273480621323
fever_AND_head_ache*sore_throat_AND_head_ache,0.0020806273480621323
fever_AND_head_ache*shortness_of_breath_AND_head_ache,0.0020806273480621323
sore_throat*sore_throat_AND_head_ache,0.0020806273480621323
sore_throat_AND_shortness_of_breath*shortness_of_breath_AND_head_ache,0.0020806273480194737
sore_throat*gender,0.0020416762691810256
head_ache*sore_throat_AND_shortness_of_breath,0.0019919181802366195
age_60_and_above*cough_AND_sore_throat,0.0018080524511070852
sore_throat*shortness_of_breath_AND_head_ache,0.0017991565491600754
sore_throat*head_ache,0.0017991565491600754
shortness_of_breath*shortness_of_breath_AND_head_ache,0.0017991565491600754
shortness_of_breath_AND_head_ache,0.0017991565491600754
sore_throat_AND_head_ache*shortness_of_breath_AND_head_ache,0.001799156548689926
cough_AND_head_ache*sore_throat_AND_head_ache,0.001136170469529985
cough_AND_head_ache*fever_AND_head_ache,0.001136170469529985
fever_AND_shortness_of_breath*sore_throat_AND_head_ache,0.001136170469529985
cough*sore_throat_AND_head_ache,0.001136170469529985
fever*fever_AND_head_ache,0.001136170469529985
shortness_of_breath*fever_AND_sore_throat,0.001136170469161324
fever_AND_sore_throat*sore_throat_AND_shortness_of_breath,0.0003638432563365405
cough_AND_head_ache*sore_throat_AND_shortness_of_breath,0.0003638432563365405
cough_AND_head_ache*fever_AND_shortness_of_breath,0.0003638432563365405
sore_throat*fever_AND_sore_throat,0.0003638432563365405
fever*fever_AND_shortness_of_breath,0.0003638432563365405
cough*sore_throat_AND_shortness_of_breath,0.0003638432563365405
