feature,importance
test_indication,0.5390438725854247
fever,0.26263051477989824
cough,0.07998626524756491
head_ache,0.04886801528067925
sore_throat,0.03285158201901793
shortness_of_breath,0.0260127843524936
gender,0.006604729427771314
age_60_and_above,0.00400223630714991
