feature,importance
test_indication,0.4901079523877859
fever,0.20204715271096702
cough,0.11723548546166371
head_ache,0.08380768784165123
sore_throat,0.056090235720652054
shortness_of_breath,0.039284705569107826
gender,0.006995569256361414
age_60_and_above,0.0044312110518109436
